Identifier	Title	Additional Title	Publication Information	Physical Description	Notes	Contents	Subjects	GeographicSubjects	Genre	CreatorNames	ContributorNames
2587790	Freedom of Expression :Resistance and Repression in the Age of Intellectual Property /produced by Kembrew McLeod and Jeremy Smith.[electronic resource]	Resistance & repression in the age of intellectual property	[San Francisco, California, USA] :Kanopy Streaming,2014.;[Northamton, Massachusetts] :Media Education Foundation,2007.	1 online resource (1 video file, 61 min.)		"In 1998, university professor Kembrew McLeod trademarked the phrase ""freedom of expression"" - a startling comment on the way that intellectual property law restricts creativity and expression of ideas. This provocative and amusing documentary explores the battles being waged in courts, classrooms, museums, film studios, and the Internet over control of our cultural commons. Based on McLeod's award-winning book of the same title, Freedom of Expression charts the many successful attempts to push back this assault by overzealous copyright holders. Freedom of Expression is an essential tool for educators, activists, filmmakers, students, artists, librarians, and more."	Copyright--United States.;Creation (Literary, artistic, etc.)--Economic aspects--United States.;Freedom of expression--United States.;Intellectual property--United States.			Cunha, Eric.;Earp, Jeremy.;George, Nate.;Jhally, Sut.;McLeod, Kembrew,1970-;Smith, Jeremy,1972-	Media Education Foundation.
3369241	The other day /a film by Ignacio Agüero.	Original title on title screen:Otro día	Brooklyn, NY :Icarus Films,[2012]	1 videodisc (120 min.) :sound, color ;4 3/4 in.	Title from disc label.;Originally produced as a documentary film in 2012.	The home of acclaimed Chilean filmmaker Ignacio Agüero is often interrupted by an unending stream of people knocking at his door: poor people asking for food, friends, neighbors, etc. Agüero turns the tables on his uninvited guests, and asks them if he may knock on their doors too. His spontaneous excursions into their neighborhoods and homes broaden the film's scope, bringing different aspects of contemporary Chilean society into the picture.			Documentary films.--lcgft;Nonfiction films.--lcgft	Agüero, Ignacio,film director.	Icarus Films.
3369725	Homeland.The complete second season[videorecording] /developed for American televsion by Alex Gansa & Howard Gordon ; Teakwood Lane Productions ; Cherry Pie Productions ; Keshet ; Fox 21.	Homeland.The complete 2nd season;Homeland.Season two;Homeland.Season 2	Beverly Hills, Calif. :Twentieth Century Fox Home Entertainment,©2013;Beverly Hills, Calif. :Twentieth Century Fox Film Corporation,©2012	4 videodiscs (approximately 629 minutes) :sound, color ;4 3/4 in.	Special features: Deleted scenes; Return to Homeland: filming in Israel; Damian Lewis: a personal video diary; The border: a prologue to season three; The choice: the making of the season finale.;Originally telecast as individual episodes by Showtime in 2012.;Based on the Israeli television series: Prisoners of War / by Gideon Raff.	"""Marine Sgt. Nicholas Brody (Lewis) is now a U.S. congressman, and former CIA agent Carrie Mathison (Danes) has returned to civilian life. But when a new and potentially devastating terrorist threat emerges, Brody and Carrie's lives become intertwined once again and they resume their delicate dance of suspicion, deceit and desire""--Container."	Women intelligence officers--United States--Drama.;Prisoners of war--United States--Drama.;Prisoners of war--Iraq--Drama.;Terrorists--United States--Drama.		Television series.--lcgft;Spy television programs.--lcgft;Action and adventure television programs.--lcgft;Detective and mystery television programs.--lcgft;Television crime shows.--lcgft;Fiction television programs.--lcgft;Video recordings for the hearing impaired.--lcgft	Gordon, Howard,1961-;Gansa, Alex.;Raff, Gideon.;Bromell, Henry.;Cary, Alexander,1963-;Johannessen, Chip.;Stiehm, Meredith,1969-;Nir, Avi.;Telem, Ran.;Cuesta, Michael,1963-;Danes, Claire,1979-;Lewis, Damian,1971-;Patinkin, Mandy.;Harewood, David.;Baccarin, Morena.	Teakwood Lane Productions (Firm);Cherry Pie Productions.;Keshet Broadcasting.;Fox 21 (Firm);Showtime Networks.;Twentieth Century Fox Home Entertainment, Inc.
3369721	3 films by Roberto Rossellini starring Ingrid Bergman /Italia Produzione Film ; directed, produced and story by Roberto Rossellini ; screenplay by Sandro de Feo ... [and others]..	Three films by Roberto Rossellini starring Ingrid Bergman.	[Irvigton, NY] :The Criterion Collection,2013.	5 videodiscs (518 minutes) :sound, black and white ;4 3/4 in. +1 booklet (84 pages : illustrations ; 19 cm.)	Title from container.;Release date: Sep. 24, 2013.;Originally produced as a motion pictures in 1950-1954.;Set 1. Special features: Disc 1: New high-definition digital restoration of the English-language version; Introduction by director Roberto Rossellini; Rossellini under the volcano, a 1998 documentary that returns to Stromboli fifty years after the making of the film; Surprised by death, a new visual essay by film critic James Quandt on the historical and artistic themes of the triology. Disc 2: New 2K digital restoration of the Italian-language version, Stromboli terra di dio; New interview with film critic Adriano Aprá; Rossellini through his own eyes, a 1992 documentary on the director's approach to cinema, featuring archival interviews with Rossellini and actress Ingrid Bergman; New English subtitle translation.;Set. 3 Special features: new 4K digital restoration; introduction by director Roberto Rossellini; audio commentary by film scholar Laura Mulvey; new interview with film critic Adriano Aprà, Martin Scorsese; short film featuring footage of the Rossellinis during the production of Journey to Italy.		Man-woman relationships--Italy--Stromboli--Drama.;Fishers--Italy--Stromboli--Drama.;Volcanic eruptions--Italy--Stromboli--Drama.;Families--Drama.;Marriage--Drama.;Man-woman relationships--Drama.		Melodramas (Motion pictures)--lcgft;Fiction films.--lcgft;Feature films.--lcgft;Video recordings for the hearing impaired.--lcgft	Rossellini, Roberto,1906-1977,film director,film producer,author.;De Feo, Sandro,screenwriter.;Bergman, Ingrid,1915-1982,actor.;Vitale, Mario,1923-actor.;Cesana, Renzo,actor.;Sponza, Mario,actor.;Sanders, George,1906-1972,actor.	Criterion Collection (Firm),publisher.
3372521	Castaways =Wyrzutki /directed by Sławomir Grünberg & Tomasz Wiśniewski.	Wyrzutki	[Spencer, New York] :LogTV,[2013];©2013	1 videodisc (17 min.) :sound, color ;4 3/4 in.	Originally produced in New York as a motion picture and released in 2013.;Wide screen.	"""A deeply moving short documentary about the desperate acts of condemned parents to save their children. Łapy was one of several stations in occupied Poland on the way to the Nazi death camp of Treblinka. Trains transporting Jews would slow down there and sometimes briefly stop while the tracks were being adjusted. Some parents tried to save small children by throwing them off the train; the last eyewitnesses to this story remember these times""--Container."	Jewish children in the Holocaust--Poland--Łapy.;Holocaust, Jewish (1939-1945)--Poland--Łapy--Personal narratives.		Documentary films.--lcgft;Nonfiction films.--lcgft;Short films.--lcgft	Grünberg, Slawomir,film director.;Wiśniewski, Tomasz,film director,screenwriter.	
3372213	Kapringen := Hijacking /Magnolia Pictures ; Nordisk Film Production præsenterer med støtte fra det Danske filminstitut ; en film af Tobias Lindholm ; produceret af Tomas Radoor, René Ezra.	English title on container and disc:Hijacking	[United States] :Magnolia Home Entertainment,[2013].	1 videodisc (99 min.) :sound, color ;4 3/4 in.	Originally produced in 2012.;Special features: Behind the scenes featurette; trailer.	The crew of a Danish cargo ship is hijacked and taken hostage by Somali pirates. The pirates pick the ship's cook as interpreter, to engage in escalating negotiations and ransom demands with their company CEO and authorities.	Hijacking of ships--Drama.;Piracy--Drama.		Feature films.--lcgft;Video recordings for the hearing impaired.--lcgft;Fiction films.--lcgft;Thrillers (Motion pictures)--lcgft;Feature films.--gsafd	Lindholm, Tobias,director.;Radoor, Tomas,producer.;Ezra, Rene,producer.;Malling, Soren,actor.;Möller, Roland,actor.;Asbæk, Pilou,1982-actor.;Salim, Dar,actor.	Magnolia Pictures (Firm),production company.;Nordisk Film (Firm),production company.;Danske filminstitut,production company.;Magnolia Home Entertainment (Firm),film distributor.
3387479	Still moving :Pilobolus at forty /a film by Jeffrey Ruoff.	Pilobolus at forty	Norwich, Vt. :New Boston Films,[2012];©2012	1 videodisc (38 min.) :DVD video, sound, color ;4 3/4 in.			Modern dance.;Documentary films.			Ruoff, Jeffrey,1962-director.;Spiegelman, Art.	Pilobolus Dance Theatre.
3359690	Juan y Eva[videorecording] /Cine Argentino ; Barakacine presenta ; una película de Paula de Luque ; producida por Marcelo Schapces, Alejandro Israel ; escrita y dirigida por Paula de Luque.	Subtitle on container:Historia de amor	Buenos AiresSBP S.A.,©2013	1 videodisc (about 104 min.) :sound, colour with black & white sequences ;4 3/4 in.	Special features include: trailer ; teaser ; making of ; photo gallery ; alternative posters ; special recommendation.	The earthquake in the city of San Juan, in January 1944, gives rise to the love story of Juan Domingo Perón and Eva Duarte. He, an army colonel; she, a rising radio actress. The film chronicles the construction of the intimate relationship in the context of rapid developments, from January 1944 until October 1945, which strengthen them as a couple. Eva collaborates with other artists in the collection of funds for earthquake victims, organized by Peron. Neither he nor she know then all that the future would hold.	Feature films--Argentina.			Luque, Paula de,1966-director.;Schapces, Marcelo,1958-producer.;Israel, Alejandro,producer.	
3401208	Treme.The complete fourth season[videorecording] /HBO Entertainment presents ; produced by Joseph Incaprera ; created by David Simon & Eric Overmyer.	Treme.The complete 4th season;Treme.Fourth season;Treme.4th season;Treme.Season four;Treme.Season 4	[New York, NY?] :Home Box Office, Inc.,[2014];Burbank, CA :Distributed by Warner Home Video,[2014];©2014	2 videodiscs (approximately 410 minutes) :sound, color ;4 3/4 in.	Originally broadcast on television by HBO in 2013.;Special features: Two audio commentaries featuring co-creators and cast members.	New Orleans, 38 months after: the city's musicians, chefs, Mardi Gras Indians, and others continue to rebuild their lives in the aftermath of Hurricane Katrina. But the promise of recovery, heightened by the historic election of a new president, is tempered by sobering economics, continued police corruption, and the ongoing specter of violence and crime. In these five final episodes of Treme, New Orleans' protagonists strive to build their own legacy in this most iconic of American cities.	Community life--Louisiana--New Orleans--Drama.;Hurricane Katrina, 2005--Social aspects--Louisiana--New Orleans--Drama.;Disaster relief--Louisiana--New Orleans--Drama.	New Orleans (La.)--Drama.	Fiction television programs.--lcgft;Television series.--lcgft;Video recordings for the hearing impaired.--lcgft	Simon, David,1960-creator,television producer.;Overmyer, Eric,creator,television producer.;Incaprera, Joseph,television producer.;Alexander, Khandi,1957-actor.;Brown, Rob,1984-actor.;Dickens, Kim,1965-actor.;Coy, Chris,1986-actor.;Ennenga, India,1994-actor.;Huisman, Michiel,1981-actor.;Leo, Melissa,actor.;Micarelli, Lucia,1983-actor.;Morse, David,1953-actor.;Peters, Clarke,actor.;Pierce, Wendell,actor.;Seda, Jon,actor.;Zahn, Steve,1968-actor.	HBO Entertainment (Firm),production company.;Home Box Office (Firm),broadcaster.;Warner Home Video (Firm),film distributor.
3395705	Applause[videorecording] /director, Martin Zandvliet ; writers, Anders Frithiof August, Martin Zandvliet.	Also known as:Applaus	[United States] :[publisher not identified],2013.;[New York, NY] :Kino Lorber,2013.;©2013	1 videodisc (95 min.) :sound, color ;4 3/4 in.	Originally produced as a motion picture in 2009.;Special features: TBD.	Critically acclaimed alcoholic actress Thea Barfoed has gone through turmoil, resulting in a divorce and the loss of custody of her two boys. Eager to break with the past, regain control over her life, and get her children back, she uses charm and manipulation to persuade her ex-husband, Christian, that she is able to take back the mantle of motherhood. But ironically, she has not completely convinced herself.	Actresses--Denmark--Drama.;Recovering alcoholics--Denmark--Drama.;Women alcoholics--Denmark--Drama.;Custody of children--Denmark--Drama.		Fiction films.--lcgft;Feature films.--lcgft	Zandvliet, Martin Pieter,1971-film director,screenwriter.;August, Anders Frithiof,screenwriter.;Steen, Paprika,1964-actor.;Falch, Michael,actor.;Maltha, Sara-Marie,actor.	Kino Lorber, Inc.,film distributor.
